Original Integer     irradix Representation         Interpreted as Binary          isPrime    Prime Comparison     Binary Expansion (%)
327                  11100001110                    1806                           False      0                    122.22              
328                  11100001111                    1807                           False      0                    122.22              
329                  11100100000                    1824                           False      0                    122.22              
330                  11100100001                    1825                           False      0                    122.22              
331                  11100100100                    1828                           False      2                    122.22              
332                  11100100110                    1830                           False      0                    122.22              
333                  11100100111                    1831                           True       1                    122.22              
334                  11100110000                    1840                           False      0                    122.22              
335                  11100110010                    1842                           False      0                    122.22              
336                  11100110011                    1843                           False      0                    122.22              
337                  11100111000                    1848                           False      2                    122.22              
338                  11100111001                    1849                           False      0                    122.22              
339                  11100111100                    1852                           False      0                    122.22              
340                  11100111110                    1854                           False      0                    122.22              
341                  11100111111                    1855                           False      0                    122.22              
342                  11110000000                    1920                           False      0                    122.22              
343                  11110000001                    1921                           False      0                    122.22              
344                  11110000100                    1924                           False      0                    122.22              
345                  11110000110                    1926                           False      0                    122.22              
346                  11110000111                    1927                           False      0                    122.22              
347                  11110010000                    1936                           False      2                    122.22              
348                  11110010010                    1938                           False      0                    122.22              
349                  11110010011                    1939                           False      2                    122.22              
350                  11110011000                    1944                           False      0                    122.22              
351                  11110011001                    1945                           False      0                    122.22              
352                  11110011100                    1948                           False      0                    122.22              
353                  11110011110                    1950                           False      2                    122.22              
354                  11110011111                    1951                           True       1                    122.22              
355                  11111000000                    1984                           False      0                    122.22              
356                  11111000010                    1986                           False      0                    122.22              
357                  11111000011                    1987                           True       1                    122.22              
358                  11111001000                    1992                           False      0                    122.22              
359                  11111001001                    1993                           True       3                    122.22              
360                  11111001100                    1996                           False      0                    122.22              
361                  11111001110                    1998                           False      0                    122.22              
362                  11111001111                    1999                           True       1                    122.22              
363                  11111100000                    2016                           False      0                    122.22              
364                  11111100001                    2017                           True       1                    122.22              
365                  11111100100                    2020                           False      0                    122.22              
366                  11111100110                    2022                           False      0                    122.22              
367                  11111100111                    2023                           False      2                    122.22              
368                  11111110000                    2032                           False      0                    122.22              
369                  11111110010                    2034                           False      0                    122.22              
370                  11111110011                    2035                           False      0                    122.22              
371                  11111111000                    2040                           False      0                    122.22              
372                  11111111001                    2041                           False      0                    122.22              
373                  11111111100                    2044                           False      2                    122.22              
374                  11111111110                    2046                           False      0                    122.22              
375                  11111111111                    2047                           False      0                    122.22              
376                  100000000000                   2048                           False      0                    133.33              
377                  100000000001                   2049                           False      0                    133.33              
378                  100000000100                   2052                           False      0                    133.33              
379                  100000000110                   2054                           False      2                    133.33              
380                  100000000111                   2055                           False      0                    133.33              
381                  100000010000                   2064                           False      0                    133.33              
382                  100000010010                   2066                           False      0                    133.33              
383                  100000010011                   2067                           False      2                    133.33              
384                  100000011000                   2072                           False      0                    133.33              
385                  100000011001                   2073                           False      0                    133.33              
386                  100000011100                   2076                           False      0                    133.33              
